         5262144 function calls (5254790 primitive calls) in 3.039 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1124    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:117(construct_scalar)
      200    0.001    0.000    0.001    0.000 {method 'groupdict' of 're.Match' objects}
     2941    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      218    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:966(_make_child_relpath)
      209    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:875(parents)
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1455(debug)
      209    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:423(__init__)
    42/19    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:87(_compile)
     1320    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\resolver.py:91(descend_resolver)
      196    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
       19    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:560(_compile_info)
      562    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      196    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      209    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      217    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:631(__fspath__)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:130(<dictcomp>)
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\nodes.py:36(__init__)
     1320    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\resolver.py:114(ascend_resolver)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'set' objects}
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\resolver.py:21(__init__)
      209    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:512(__init__)
      199    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1724(isEnabledFor)
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\__init__.py:294(__init__)
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:24(__init__)
      392    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      205    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1204(emit)
        6    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:932(format)
      216    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      209    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:665(format)
      2/1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:368(_make_selector)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:465(__init__)
      2/1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:389(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:434(__init__)
      209    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1585(makeRecord)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:398(select_from)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:192(compile_pattern)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1300(is_dir)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:283(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1092(stat)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:249(compile)
        1    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      132    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:255(get)
    50/28    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:175(getwidth)
        6    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:597(formatTime)
      196    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      177    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:234(__next)
      207    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:165(__getitem__)
      392    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1077(flush)
       48    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:356(_escape)
      418    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:412(_select_from)
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:348(__init__)
      196    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       19    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\enum.py:986(__and__)
      208    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      196    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:127(<listcomp>)
      208    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:80(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      196    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
