         44897 function calls (42377 primitive calls) in 0.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1204(emit)
        1    0.001    0.001    0.001    0.001 {built-in method faiss._swigfaiss_avx2.write_index}
      211    0.001    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\sniffio\_impl.py:25(current_async_library)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:804(run_in_executor)
      378    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\contextlib.py:279(helper)
  493/231    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       50    0.001    0.000    0.001    0.000 {built-in method binascii.a2b_base64}
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_transform.py:440(get_type_hints)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\typing_extensions.py:1282(get_type_hints)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:1773(get_type_hints)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_sync.py:83(wrapper)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_sync.py:41(to_thread)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\threads.py:12(to_thread)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_models.py:825(construct)
     27/5    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:320(_eval_type)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:1249(__init__)
        5    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:679(_evaluate)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\thread.py:161(submit)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:831(json)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\json\__init__.py:299(loads)
       52    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\inspect.py:1731(getattr_static)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:780(new_event_loop)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:667(new_event_loop)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:312(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_models.py:831(<dictcomp>)
        6    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_utils.py:302(strip_not_given)
       20    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:932(format)
     1172    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
        2    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        5    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
